switch_id,eth_dst,eth_src,eth_type,ipv4_src,ipv4_dst,in_port,packet_count,byte_count,duration_sec,idle_timeout_s,hard_timeout_s,priority
1,1,2,800,2,1,3,7866710,449010649212,156,5,0,1
6,1,2,800,2,1,1,7866709,449010649138,156,5,0,1
5,1,2,800,2,1,5,7978244,455377626456,158,5,0,1
1,1,2,800,2,1,3,7978244,455377626456,158,5,0,1
6,1,2,800,2,1,1,7978243,455377626382,158,5,0,1
5,1,2,800,2,1,5,8091143,461823132854,160,5,0,1
1,1,2,800,2,1,3,8091143,461823132854,160,5,0,1
6,1,2,800,2,1,1,8091142,461823132780,160,5,0,1
5,1,2,800,2,1,5,8207004,468437042840,162,5,0,1
1,1,2,800,2,1,3,8207004,468437042840,162,5,0,1
6,1,2,800,2,1,1,8207003,468437042766,162,5,0,1
5,1,2,800,2,1,5,8322836,475048715928,164,5,0,1
1,1,2,800,2,1,3,8322836,475048715928,164,5,0,1
6,1,2,800,2,1,1,8322835,475048715854,164,5,0,1
5,1,2,800,2,1,5,8435266,481467313572,166,5,0,1
1,1,2,800,2,1,3,8435266,481467313572,166,5,0,1
6,1,2,800,2,1,1,8435265,481467313498,166,5,0,1
5,1,2,800,2,1,5,8549098,487965459540,168,5,0,1
1,1,2,800,2,1,3,8549098,487965459540,168,5,0,1
6,1,2,800,2,1,1,8549097,487965459466,168,5,0,1
5,1,2,800,2,1,5,8660838,494344539732,170,5,0,1
1,1,2,800,2,1,3,8660838,494344539732,170,5,0,1
6,1,2,800,2,1,1,8660837,494344539658,170,5,0,1
5,1,2,800,2,1,5,8822137,503553398490,172,5,0,1
1,1,2,800,2,1,3,8822137,503553398490,172,5,0,1
6,1,2,800,2,1,1,8822136,503553398416,172,5,0,1
5,1,2,800,2,1,5,8878332,506761595888,174,5,0,1
1,1,2,800,2,1,3,8878332,506761595888,174,5,0,1
6,1,2,800,2,1,1,8878331,506761595814,174,5,0,1
5,1,2,800,2,1,5,8988342,513041426572,176,5,0,1
1,1,2,800,2,1,3,8988342,513041426572,176,5,0,1
6,1,2,800,2,1,1,8988341,513041426498,176,5,0,1
5,1,2,800,2,1,5,9070286,517722586156,178,5,0,1
1,1,2,800,2,1,3,9070286,517722586156,178,5,0,1
6,1,2,800,2,1,1,9070285,517722586082,178,5,0,1
5,1,2,800,2,1,5,9183899,524208691550,180,5,0,1
1,1,2,800,2,1,3,9183899,524208691550,180,5,0,1
6,1,2,800,2,1,1,9183898,524208691476,180,5,0,1
5,1,2,800,2,1,5,9292308,530397477192,182,5,0,1
1,1,2,800,2,1,3,9292308,530397477192,182,5,0,1
6,1,2,800,2,1,1,9292307,530397477118,182,5,0,1
5,1,2,800,2,1,5,9401897,536653701218,184,5,0,1
1,1,2,800,2,1,3,9401897,536653701218,184,5,0,1
6,1,2,800,2,1,1,9401896,536653701144,184,5,0,1
5,1,2,800,2,1,5,9495962,542025195724,186,5,0,1
1,1,2,800,2,1,3,9495962,542025195724,186,5,0,1
6,1,2,800,2,1,1,9495961,542025195650,186,5,0,1
5,1,2,800,2,1,5,9649909,550815361890,188,5,0,1
1,1,2,800,2,1,3,9649909,550815361890,188,5,0,1
6,1,2,800,2,1,1,9649908,550815361816,188,5,0,1
5,1,2,800,2,1,5,9762551,557245982926,190,5,0,1
1,1,2,800,2,1,3,9762551,557245982926,190,5,0,1
6,1,2,800,2,1,1,9762550,557245982852,190,5,0,1
5,1,2,800,2,1,5,9874686,563647070732,192,5,0,1
1,1,2,800,2,1,3,9874686,563647070732,192,5,0,1
6,1,2,800,2,1,1,9874685,563647070658,192,5,0,1
5,1,2,800,2,1,5,9986058,570004731220,194,5,0,1
1,1,2,800,2,1,3,9986058,570004731220,194,5,0,1
6,1,2,800,2,1,1,9986057,570004731146,194,5,0,1
5,1,2,800,2,1,5,10091804,576041812336,196,5,0,1
1,1,2,800,2,1,3,10091804,576041812336,196,5,0,1
6,1,2,800,2,1,1,10091803,576041812262,196,5,0,1
5,1,2,800,2,1,5,10143940,579022532216,198,5,0,1
1,1,2,800,2,1,3,10143940,579022532216,198,5,0,1
6,1,2,800,2,1,1,10143939,579022532142,198,5,0,1
5,1,2,800,2,1,5,10245808,584838350600,200,5,0,1
1,1,2,800,2,1,3,10245808,584838350600,200,5,0,1
6,1,2,800,2,1,1,10245807,584838350526,200,5,0,1
5,1,2,800,2,1,5,10350647,590823626662,202,5,0,1
1,1,2,800,2,1,3,10350647,590823626662,202,5,0,1
6,1,2,800,2,1,1,10350646,590823626588,202,5,0,1
5,1,2,800,2,1,5,10462352,597200560056,204,5,0,1
1,1,2,800,2,1,3,10462352,597200560056,204,5,0,1
6,1,2,800,2,1,1,10462351,597200559982,204,5,0,1
5,1,2,800,2,1,5,10574152,603582997776,206,5,0,1
1,1,2,800,2,1,3,10574152,603582997776,206,5,0,1
6,1,2,800,2,1,1,10574151,603582997702,206,5,0,1
5,1,2,800,2,1,5,10688068,610086022776,208,5,0,1
1,1,2,800,2,1,3,10688068,610086022776,208,5,0,1
6,1,2,800,2,1,1,10688067,610086022702,208,5,0,1
5,1,2,800,2,1,5,10799376,616442421856,210,5,0,1
1,1,2,800,2,1,3,10799376,616442421856,210,5,0,1
6,1,2,800,2,1,1,10799375,616442421782,210,5,0,1
5,1,2,800,2,1,5,10909609,622735495106,212,5,0,1
1,1,2,800,2,1,3,10909609,622735495106,212,5,0,1
6,1,2,800,2,1,1,10909608,622735495032,212,5,0,1
5,1,2,800,2,1,5,11017561,628898447850,214,5,0,1
1,1,2,800,2,1,3,11017561,628898447850,214,5,0,1
6,1,2,800,2,1,1,11017560,628898447776,214,5,0,1
5,1,2,800,2,1,5,11130596,635351079240,216,5,0,1
1,1,2,800,2,1,3,11130596,635351079240,216,5,0,1
6,1,2,800,2,1,1,11130595,635351079166,216,5,0,1
5,1,2,800,2,1,5,11242138,641719258540,218,5,0,1
1,1,2,800,2,1,3,11242138,641719258540,218,5,0,1
6,1,2,800,2,1,1,11242137,641719258466,218,5,0,1
5,1,2,800,2,1,5,11354830,648152713548,220,5,0,1
1,1,2,800,2,1,3,11354830,648152713548,220,5,0,1
6,1,2,800,2,1,1,11354829,648152713474,220,5,0,1
5,1,2,800,2,1,5,11468899,654664628510,222,5,0,1
1,1,2,800,2,1,3,11468899,654664628510,222,5,0,1
6,1,2,800,2,1,1,11468898,654664628436,222,5,0,1
5,1,2,800,2,1,5,11583308,661196242512,224,5,0,1
1,1,2,800,2,1,3,11583308,661196242512,224,5,0,1
6,1,2,800,2,1,1,11583307,661196242438,224,5,0,1
5,1,2,800,2,1,5,11694489,667543469386,226,5,0,1
1,1,2,800,2,1,3,11694489,667543469386,226,5,0,1
6,1,2,800,2,1,1,11694488,667543469312,226,5,0,1
5,1,2,800,2,1,5,11802212,673693350832,228,5,0,1
1,1,2,800,2,1,3,11802212,673693350832,228,5,0,1
6,1,2,800,2,1,1,11802211,673693350758,228,5,0,1
5,1,2,800,2,1,5,11873144,677745503664,230,5,0,1
1,1,2,800,2,1,3,11873144,677745503664,230,5,0,1
6,1,2,800,2,1,1,11873143,677745503590,230,5,0,1
5,1,2,800,2,1,5,11961691,682612616702,232,5,0,1
1,1,2,800,2,1,3,11961691,682612616702,232,5,0,1
6,1,2,800,2,1,1,11961690,682612616628,232,5,0,1
5,1,2,800,2,1,5,12066024,688292976624,234,5,0,1
1,1,2,800,2,1,3,12066024,688292976624,234,5,0,1
6,1,2,800,2,1,1,12066023,688292976550,234,5,0,1
5,1,2,800,2,1,5,12179617,694777441874,236,5,0,1
1,1,2,800,2,1,3,12179617,694777441874,236,5,0,1
6,1,2,800,2,1,1,12179616,694777441800,236,5,0,1
5,1,2,800,2,1,5,12293095,701256399542,238,5,0,1
1,1,2,800,2,1,3,12293095,701256399542,238,5,0,1
6,1,2,800,2,1,1,12293094,701256399468,238,5,0,1
5,1,2,800,2,1,5,12402448,707498972808,240,5,0,1
1,1,2,800,2,1,3,12402448,707498972808,240,5,0,1
6,1,2,800,2,1,1,12402447,707498972734,240,5,0,1
5,1,2,800,2,1,5,12512496,713780977056,242,5,0,1
1,1,2,800,2,1,3,12512496,713780977056,242,5,0,1
6,1,2,800,2,1,1,12512495,713780976982,242,5,0,1
5,1,2,800,2,1,5,12622497,720060787546,244,5,0,1
1,1,2,800,2,1,3,12622497,720060787546,244,5,0,1
6,1,2,800,2,1,1,12622496,720060787472,244,5,0,1
5,1,2,800,2,1,5,12735308,726500773880,246,5,0,1
