agent, num_iperfs, port_number, original_size, transferred, retries, flow_completion_time, bandwidth, iter
B,4,46116,100,100.0,1650.0,294.81,2.86,4
B,4,46112,100,100.0,4146.0,115.0,7.33,3
B,4,46116,100,100.0,4757.0,286.0,2.94,0
B,4,46114,100,101.0,5175.0,310.0,2.73,3
B,4,46110,100,101.0,2605.0,228.0,3.72,4
B,4,46114,100,101.0,5164.0,282.01,2.99,2
B,4,46116,100,101.0,16878.0,313.0,2.71,1
B,4,46112,100,100.0,13179.0,159.0,5.29,4
B,4,46116,100,101.0,8579.0,233.0,3.64,3
B,4,46114,100,100.0,8245.0,230.0,3.65,0
B,4,46114,100,101.0,10522.0,537.0,1.57,1
B,4,46116,100,100.0,7005.0,279.0,3.02,2
B,4,46112,200,201.0,20850.0,456.0,3.69,0
B,4,46110,200,200.0,26950.0,547.56,3.07,3
B,4,46114,200,200.0,20815.0,605.01,2.78,4
B,4,46110,200,201.0,14327.0,677.0,2.49,2
B,4,46112,200,200.0,16807.0,512.0,3.28,1
B,4,46116,200,200.0,16134.0,441.0,3.81,4
B,4,46112,200,200.0,29678.0,344.0,4.88,3
B,4,46110,200,200.0,20987.0,483.0,3.47,0
B,4,46110,200,201.0,16084.0,593.0,2.85,1
B,4,46112,200,200.0,33804.0,414.0,4.06,2
B,4,46116,200,201.0,19446.0,791.0,2.13,1
B,4,46114,200,201.0,13172.0,435.0,3.88,2
B,4,46114,200,200.0,27765.0,414.0,4.06,3
B,4,46110,200,201.0,20412.0,562.0,3.0,4
B,4,46116,200,201.0,9192.0,334.0,5.04,0
B,4,46116,200,201.0,18561.0,571.0,2.95,2
B,4,46114,200,200.0,19477.0,647.54,2.59,1
B,4,46114,200,200.0,10622.0,931.02,1.8,0
B,4,46112,200,200.0,11594.0,236.81,7.09,4
B,4,46116,200,201.0,26951.0,501.0,3.36,3
B,4,46116,500,501.0,82465.0,1216.12,3.45,0
B,4,46110,500,500.0,108911.0,1562.0,2.69,4
B,4,46114,500,501.0,53023.0,1576.35,2.67,3
B,4,46114,500,501.0,36666.0,1771.0,2.37,2
B,4,46116,500,500.0,80302.0,1320.0,3.18,1
B,4,46116,500,500.0,68884.0,1201.0,3.49,3
B,4,46112,500,500.0,65288.0,1070.0,3.92,4
B,4,46114,500,501.0,59006.0,1445.0,2.91,0
