Step; State; Reward
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
134; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
135; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
136; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
137; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
138; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
139; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
140; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
141; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
